iter	Passed	Remaining
0	143	143470
1	145	72400
2	146	48724
3	148	36900
4	150	29856
5	151	25113
6	152	21690
7	154	19140
8	155	17167
9	157	15597
10	158	14291
11	160	13202
12	162	12311
13	163	11535
14	165	10885
15	167	10291
16	168	9766
17	170	9307
18	172	8912
19	174	8530
20	176	8221
21	178	7914
22	179	7623
23	180	7358
24	182	7126
25	184	6909
26	185	6701
27	187	6511
28	189	6334
29	190	6164
30	192	6025
31	194	5876
32	195	5736
33	197	5610
34	199	5489
35	200	5376
36	202	5266
37	203	5163
38	205	5071
39	207	4980
40	209	4899
41	211	4815
42	212	4736
43	214	4656
44	215	4582
45	218	4521
46	219	4452
47	221	4394
48	223	4337
49	225	4276
50	226	4219
51	228	4162
52	230	4113
53	231	4061
54	233	4020
55	235	3970
56	237	3922
57	238	3875
58	240	3833
59	241	3790
60	243	3747
61	244	3705
62	246	3663
63	248	3629
64	249	3591
65	251	3554
66	252	3519
67	254	3488
68	256	3458
69	257	3425
70	259	3396
71	261	3367
72	262	3338
73	264	3309
74	266	3281
75	267	3256
76	269	3231
77	271	3204
78	272	3176
79	274	3153
80	276	3132
81	277	3109
82	278	3079
83	280	3063
84	283	3051
85	285	3029
86	286	3007
87	287	2984
88	289	2962
89	290	2940
90	292	2924
91	294	2908
92	296	2888
93	297	2868
94	298	2846
95	300	2826
96	301	2805
97	303	2789
98	305	2777
99	306	2762
100	308	2743
101	309	2725
102	311	2710
103	312	2694
104	314	2679
105	316	2666
106	317	2652
107	319	2636
108	320	2619
109	321	2603
110	323	2586
111	324	2570
112	325	2557
113	327	2546
114	329	2538
115	331	2524
116	332	2509
117	333	2494
118	334	2479
119	336	2465
120	337	2452
121	338	2437
122	340	2425
123	341	2415
124	343	2402
125	345	2393
126	346	2380
127	347	2368
128	349	2357
129	350	2346
130	352	2338
131	354	2332
132	356	2323
133	358	2314
134	359	2306
135	361	2296
136	363	2287
137	365	2280
138	367	2273
139	368	2263
140	369	2253
141	370	2241
142	372	2231
143	373	2222
144	375	2214
145	377	2209
146	379	2202
147	381	2194
148	382	2185
149	384	2176
150	385	2166
151	386	2156
152	387	2146
153	389	2137
154	390	2129
155	392	2123
156	394	2115
157	395	2107
158	396	2098
159	398	2090
160	399	2080
161	400	2072
162	402	2065
163	403	2057
164	404	2048
165	406	2040
166	407	2031
167	408	2023
168	409	2015
169	411	2006
170	412	1999
171	413	1991
172	415	1984
173	416	1977
174	417	1969
175	419	1962
176	420	1954
177	421	1946
178	422	1939
179	424	1935
180	426	1931
181	428	1926
182	430	1922
183	432	1917
184	433	1911
185	435	1905
186	437	1900
187	438	1895
188	440	1890
189	442	1885
190	443	1879
191	445	1873
192	446	1868
193	448	1864
194	450	1858
195	452	1855
196	454	1850
197	455	1845
198	457	1840
199	458	1835
200	460	1830
201	461	1825
202	464	1822
203	465	1816
204	467	1811
205	468	1807
206	470	1802
207	472	1797
208	473	1793
209	475	1788
210	477	1784
211	478	1779
212	480	1775
213	482	1770
214	484	1767
215	485	1762
216	486	1757
217	488	1752
218	490	1747
219	491	1743
220	493	1739
221	494	1734
222	496	1730
223	498	1725
224	499	1721
225	501	1718
226	503	1714
227	505	1710
228	506	1705
229	508	1701
230	509	1697
231	511	1692
232	513	1689
233	514	1685
234	516	1681
235	518	1677
236	519	1673
237	521	1669
238	523	1665
